Conservative tracer analysis results
Time (days),Chn-1,Chn-2,Mean C,Mean C Obs,Residuals,Stdized Residuals
40.8,18.1424672720797,87.1263898501758,105.268857122255,105.268856935134,1.87121429462422e-07,52
41.6,14.6005856051719,91.0958807681454,105.696466373317,105.696466190911,1.82406338922192e-07,53
42.4,11.69084466959,94.3311561334361,106.022000803026,106.022000632042,1.70984094438609e-07,54
43.2,9.3163711551495,96.7950959883586,106.111467143508,106.111466989341,1.54167139498895e-07,55
44,7.39073272230224,98.471513874305,105.862246596607,105.862246463211,1.33396227397498e-07,56
44.8,5.83813790903663,99.3639047878288,105.202042696865,105.202042586743,1.10122471141949e-07,57
45.6,4.59310263081346,99.4935604823967,104.08666311321,104.086663027498,8.57121591479881e-08,58
46.4,3.59977078708216,98.8972284127902,102.496999199872,102.49699913849,6.13824084894077e-08,59
47.2,2.81103416135112,97.6244855533376,100.435519714689,100.435519676532,3.81567417662154e-08,60
48,2.18755965018621,95.7349839792414,97.9225436294277,97.9225436125826,1.68450640103401e-08,61
48.8,1.69680073409419,93.2957044275888,94.992505161683,94.992505163645,-1.9620500779638e-09,62
49.6,1.31204504482616,90.3783297554752,91.6903748003014,91.6903748181838,-1.7882399561131e-08,63
50.4,1.01153042937471,87.0568246001034,88.0683550294781,88.0683550602013,-3.0723157351531e-08,64
51.2,0.777647343245984,83.4052824665945,84.1829298098404,84.1829298502951,-4.04546511845183e-08,65
52,0.596234911903882,79.4960782887125,80.0923132006164,80.0923132477983,-4.71818992764383e-08,66
52.8,0.455970776370022,75.3983441365466,75.8543149129166,75.8543149640303,-5.11137017156216e-08,67
53.6,0.347850153548457,71.176768694995,71.5246188485434,71.5246189010781,-5.25346592894493e-08,68
54.4,0.26474676041437,66.8907075898792,67.1554543502935,67.1554544020709,-5.17773628416762e-08,69
55.2,0.201046849237803,62.5935815220964,62.7946283713342,62.7946284205343,-4.92001035468093e-08,70
56,0.152347159469376,58.3325322289695,58.4848793884389,58.4848794336055,-4.51666224421388e-08,71
56.8,0.115207786651186,54.14830215206,54.2635099387112,54.2635099787417,-4.00304998038337e-08,72
57.6,0.0869515566805404,50.0753019145184,50.162253471199,50.162253505322,-3.41230403932968e-08,73
58.4,0.0655022984765646,46.141829840422,46.2073321388986,46.2073321666434,-2.77447895769001e-08,74
59.2,0.0492553059664609,42.3704093374664,42.4196646434328,42.4196646645931,-2.11602610988848e-08,75
60,0.0369741884139861,38.7782126015037,38.8151867899177,38.8151868045125,-1.45948035878973e-08,76
60.8,0.0277091740000042,35.3775424242556,35.4052515982556,35.4052516064895,-8.2338758033984e-09,77
61.6,0.0207327248790272,32.1763475875191,32.1970803123981,32.197080314623,-2.22490115220353e-09,78
62.4,0.0154890278458771,29.1787511595681,29.194240187414,29.1942401840926,3.32140004388748e-09,79
63.2,0.0115545389077585,26.3855747791488,26.3971293180565,26.3971293097294,8.32710966847117e-09,80
64,0.008607284854197,23.7948455773899,23.803452862244,23.8034528495005,1.27435484387206e-08,81
64.8,0.0064030667447144,21.4022756507854,21.4086787175301,21.4086787009829,1.65472364699326e-08,82
65.6,0.00475707758329175,19.2017068996054,19.2064639771887,19.2064639574528,1.97358787090707e-08,83
66.4,0.00352974861208389,17.1855165568644,17.1890463054764,17.1890462831522,2.23242366814702e-08,84
67.2,0.00261588488874199,15.344980848522,15.3475967334107,15.3475967090705,2.43402347166466e-08,85
68,0.00193634981898541,13.6705959590206,13.6725323088396,13.6725322830176,2.58220111959417e-08,86
68.8,0.00143171798093703,12.1523568533015,12.1537885712825,12.1537885444679,2.68145630144545e-08,87
69.6,0.00105744283765383,10.7799955608937,10.7810530037314,10.7810529763642,2.73671627581962e-08,88
70.4,0.000780186764303729,9.54318129786042,9.54396148462472,9.54396145709356,2.75311613506801e-08,89
71.2,0.000575040274341325,8.43168532825286,8.4322603685272,8.43226034116889,2.73583147247791e-08,90
72,0.00042341963560303,7.43551378769904,7.43593720733464,7.43593718043542,2.68992224050635e-08,91
72.8,0.000311480702805225,6.5450118452507,6.54532332595351,6.54532329975133,2.62021799812828e-08,92
73.6,0.000228924597960339,5.75094259997435,5.75117152457231,5.75117149925987,2.53124374793856e-08,93
74.4,0.000168100142396887,5.04454402670378,5.04471212684618,5.04471210257453,2.42716478027205e-08,94
75.2,0.000123330527446307,4.417567127646,4.41769045817344,4.41769043505594,2.31175043552412e-08,95
76,9.0409075175047e-05,3.862298235961,3.86238864503617,3.86238862315264,2.188353098731e-08,96
76.8,6.62222498810831e-05,3.37156817302825,3.37163439527813,3.37163437467891,2.05992205515315e-08,97
77.6,4.84682522554212e-05,2.93875069832065,2.93879916657291,2.93879914728296,1.92899483053566e-08,98
78.4,3.54472795069562e-05,2.55775242189159,2.55778786917109,2.55778785119379,1.79773023134544e-08,99
79.2,2.59054266183794e-05,2.22299608386586,2.22302198929248,2.22302197261321,1.66792668565563e-08,100
80,1.89186713044675e-05,1.92939885000378,1.92941776867508,1.92941775326458,1.54105008753902e-08,101
